,unique_identifier,track_id,artist_name,song_name,count
0,6kcnFRTsf7DaJWwu1QbBvd-2023-05-14,6kcnFRTsf7DaJWwu1QbBvd,SE SO NEON,Dong 덩,1
1,7dmZxqI5NlbIjgjifKEP06-2023-05-14,7dmZxqI5NlbIjgjifKEP06,落日飛車 Sunset Rollercoaster,My Monday Throne,1
2,3YdkukHIzvVxSvY92JAVw3-2023-05-16,3YdkukHIzvVxSvY92JAVw3,Alex G,Ain't It Easy,1
3,6I5smKWqDl1TwxUvyhDRSZ-2023-05-16,6I5smKWqDl1TwxUvyhDRSZ,Babe Rainbow,Something New,1
4,6i18oi8cbvlv9Y2QVBSzkB-2023-05-16,6i18oi8cbvlv9Y2QVBSzkB,Cocteau Twins,Frou-frou Foxes in Midsummer Fires,1
5,77YKoNCjP5hWqiXMRG2839-2023-05-16,77YKoNCjP5hWqiXMRG2839,Collective Soul,Shine,1
6,3asSrvrWbMpX4v4ilkj5So-2023-05-16,3asSrvrWbMpX4v4ilkj5So,Crumb,Crushxd,1
7,3xqtvSfofDvSMVwwSbuvKi-2023-05-16,3xqtvSfofDvSMVwwSbuvKi,FKA twigs,careless (feat. daniel caesar),1
8,58AwxWLaRHn2lTqqH9dLkU-2023-05-16,58AwxWLaRHn2lTqqH9dLkU,Hoobastank,The Reason,1
9,7nnWIPM5hwE3DaUBkvOIpy-2023-05-16,7nnWIPM5hwE3DaUBkvOIpy,Incubus,Drive,1
10,3jfZ9M23l0L7RxzYMTgBTv-2023-05-16,3jfZ9M23l0L7RxzYMTgBTv,Joy Again,Looking Out for You,1
11,3vcLw8QA3yCOkrj9oLSZNs-2023-05-16,3vcLw8QA3yCOkrj9oLSZNs,Kanii,I Know - PR1SVX Edit,1
12,3hO9gaVixKDoYDrlTBrEWf-2023-05-16,3hO9gaVixKDoYDrlTBrEWf,Morphine,Cure for Pain,1
13,0YCl0i8CTDqtISiphhLIE8-2023-05-16,0YCl0i8CTDqtISiphhLIE8,P-Lo,same squad,1
14,1PZhJNvdDjpsjZWrkfgff4-2023-05-16,1PZhJNvdDjpsjZWrkfgff4,Sarah Kinsley,Oh No Darling!,1
15,4KV4xFENpJWR0kdSkDuoDc-2023-05-16,4KV4xFENpJWR0kdSkDuoDc,So!YoON!,CANADA,1
16,3DA4gPe9MDQFe7bMzEVGce-2023-05-16,3DA4gPe9MDQFe7bMzEVGce,So!YoON!,Till the sun goes up,1
17,39sDitIeCMrVX2QyXHY46t-2023-05-16,39sDitIeCMrVX2QyXHY46t,TV Girl,Blue Hair,1
18,1FkoVC85Ds3mFoK0fVqEqP-2023-05-16,1FkoVC85Ds3mFoK0fVqEqP,The Offspring,Self Esteem,1
19,6FwiflJB4b1v8j3h10e9ZM-2023-05-16,6FwiflJB4b1v8j3h10e9ZM,"Tyler, The Creator",MANIFESTO (feat. Domo Genesis),1
