,track_id,song_name,artist_name,album_name,album_release_date
0,4c9ygoZeMOjvu3uoLpIsl6,lightbeamers,FKA twigs,CAPRISONGS,2022-01-14
1,3r8RuvgbX9s7ammBn07D3W,Ditto,NewJeans,Ditto,2022-12-19
2,65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,NewJeans 'OMG',2023-01-02
3,0wSQyNqdv75aNGfmXQ3Q9F,Green Glass,Andy Shauf,Wilds,2021-09-24
4,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,SOS,2022-12-08
5,4EgGFRir6rg8sUSZewSrSg,which way (feat. dystopia),FKA twigs,CAPRISONGS,2022-01-14
6,5DRnssBoVo8e7uAQZkNT8O,Runner,Alex G,God Save The Animals,2022-09-23
7,6Tv21RLLA1Dt6OtPNz8QDq,All The Good Times,Angel Olsen,Big Time,2022-06-03
8,3DA4gPe9MDQFe7bMzEVGce,Till the sun goes up,So!YoON!,Episode1 : Love,2023-03-14
9,0pJO1tc1GpnxFyQp6Zp82r,Gorilla,Little Simz,NO THANK YOU,2022-12-12
10,4syzriQO4gEZR61pU5FBFd,Weightless,Arlo Parks,Weightless,2023-01-18
11,78Sw5GDo6AlGwTwanjXbGh,Here With Me,d4vd,Here With Me,2022-09-22
12,6S6Ls9g5i1k2duXCWiOm55,Somebody New,Swim Mountain,If (Deluxe Edition),2021-10-08
13,0Dl965SLJGi9bB0SrvtPRx,girlfriend,hemlocke springs,girlfriend,2022-11-02
14,1SaVl5y8PvOWwjM6VYcnKN,Night Tube,Saiming,Night Tube,2022-04-29
15,7G6NU3cp3ufNMEFCI2l90X,"It's Not Just Me, It's Everybody",Weyes Blood,"And In The Darkness, Hearts Aglow",2022-11-18
16,4pGxnHLyli1TLkRFHyBxo0,Angel,Little Simz,NO THANK YOU,2022-12-12
17,0j0gJqxitjhmmkrW56dtQH,Anti-Hero (feat. Bleachers),Taylor Swift,Anti-Hero (feat. Bleachers),2022-11-08
18,0O5q2h0kfQD6PixL7rCHuL,After The Earthquake,Alvvays,Blue Rev,2022-10-07
19,6osru1Fx1n50mRD8QWI9m1,TODAY,Q,TODAY,2022-11-04
